User_ID,Ad_ID,Platform,Impressions,Clicks,CTR,Device_Type,Interaction_Date
U001,A001,TikTok,1082,70,0.06469500924214418,Mobile,2024-07-18
U001,A002,TikTok,4098,229,0.05588091752074183,Mobile,2023-09-06
U001,A003,Meta Ads,2673,136,0.0508791619902731,Desktop,2024-08-31
U001,A004,TikTok,4252,216,0.05079962370649106,Desktop,2024-09-09
U001,A005,Meta Ads,3437,177,0.05149839976723887,Tablet,2024-08-23
U001,A006,Meta Ads,1217,57,0.04683648315529992,Mobile,2024-11-27
U001,A007,Meta Ads,3445,169,0.04905660377358491,Mobile,2024-05-31
U001,A008,TikTok,1396,76,0.054441260744985676,Tablet,2024-12-11
U001,A009,TikTok,2853,140,0.04907115317209954,Mobile,2024-05-02
U001,A010,TikTok,3678,188,0.0511147362697118,Mobile,2023-09-10
U001,A011,Meta Ads,4724,250,0.05292125317527519,Tablet,2023-11-17
U001,A012,Meta Ads,2129,110,0.05166744950681071,Mobile,2025-02-04
U001,A013,TikTok,3228,151,0.04677819083023544,Tablet,2025-01-10
U001,A014,TikTok,4964,212,0.0427074939564867,Mobile,2024-04-29
U001,A015,TikTok,552,27,0.04891304347826087,Mobile,2023-12-06
U001,A016,Meta Ads,2460,145,0.05894308943089431,Mobile,2023-08-20
U001,A017,TikTok,2991,146,0.048813105984620526,Tablet,2024-04-29
U001,A018,TikTok,1826,94,0.05147864184008762,Desktop,2024-01-13
U001,A019,TikTok,690,37,0.0536231884057971,Tablet,2024-03-22
U001,A020,Meta Ads,2203,110,0.04993191103041307,Mobile,2024-09-26
U001,A021,Meta Ads,1550,92,0.05935483870967742,Mobile,2024-06-22
U001,A022,TikTok,2895,145,0.05008635578583765,Desktop,2023-09-10
U001,A023,Meta Ads,4281,237,0.05536089698668535,Tablet,2025-02-07
U001,A024,TikTok,2974,147,0.04942837928715535,Tablet,2023-07-31
U001,A025,Meta Ads,1855,87,0.04690026954177898,Mobile,2024-09-12
U001,A026,TikTok,4909,248,0.050519454063964145,Mobile,2024-08-19
U001,A027,TikTok,2121,112,0.052805280528052806,Tablet,2023-02-12
U001,A028,Meta Ads,3805,211,0.05545335085413929,Mobile,2024-06-23
U001,A029,Meta Ads,2617,121,0.04623614826136798,Mobile,2024-08-09
U001,A030,TikTok,3097,168,0.05424604455925089,Mobile,2023-02-27
U001,A031,TikTok,4710,256,0.05435244161358811,Desktop,2025-02-09
U001,A032,Meta Ads,4117,212,0.051493806169540926,Mobile,2025-01-14
U001,A033,Meta Ads,1836,106,0.05773420479302832,Tablet,2023-11-22
U001,A034,Meta Ads,3236,137,0.04233621755253399,Mobile,2024-06-08
U001,A035,TikTok,2893,130,0.04493605254061528,Mobile,2024-07-09
U001,A036,Meta Ads,2509,137,0.05460342766042248,Tablet,2023-10-22
U001,A037,TikTok,3962,200,0.05047955577990914,Mobile,2024-10-06
U001,A038,TikTok,856,45,0.052570093457943924,Mobile,2023-05-28
U001,A039,Meta Ads,2735,152,0.05557586837294333,Desktop,2024-01-20
